time,x,y,psi,speed,curvature
2.4,5.784,0.180711,0.0308889,4.8,-0.0001781
2.41,5.8322,0.182201,0.0308802,4.82,-0.000179568
2.42,5.8806,0.183695,0.0308715,4.84,-0.000181041
2.43,5.9292,0.185196,0.0308627,4.86,-0.00018252
2.44,5.978,0.186702,0.0308537,4.88,-0.000184005
2.45,6.027,0.188214,0.0308447,4.9,-0.000185495
2.46,6.0762,0.189732,0.0308355,4.92,-0.000186991
2.47,6.12559,0.191255,0.0308262,4.93874,-0.000188493
2.48,6.17512,0.192783,0.0308169,4.95375,-0.000189998
2.49,6.22478,0.194313,0.0308074,4.96584,-0.000191507
2.5,6.27454,0.195846,0.0307978,4.97557,-0.000193018
2.51,6.32437,0.197381,0.0307881,4.9834,-0.000194531
2.52,6.37427,0.198918,0.0307784,4.9897,-0.000196045
2.53,6.42422,0.200455,0.0307686,4.99477,-0.000197561
2.54,6.47421,0.201994,0.0307586,4.99885,-0.000199077
2.55,6.52423,0.203533,0.0307486,5.00214,-0.000200594
2.56,6.57428,0.205072,0.0307386,5.00478,-0.000202111
2.57,6.62434,0.206611,0.0307284,5.00691,-0.000203628
2.58,6.67443,0.20815,0.0307182,5.00862,-0.000205145
2.59,6.72453,0.209689,0.0307078,5.01,-0.000206663
2.6,6.77464,0.211229,0.0306974,5.01111,-0.00020818
2.61,6.82476,0.212767,0.030687,5.01201,-0.000209696
2.62,6.87489,0.214306,0.0306764,5.01272,-0.000211213
2.63,6.92502,0.215844,0.0306658,5.0133,-0.000212729
2.64,6.97516,0.217382,0.0306551,5.01377,-0.000214245
2.65,7.0253,0.218919,0.0306443,5.01414,-0.00021576
2.66,7.07545,0.220456,0.0306334,5.01444,-0.000217275
2.67,7.12559,0.221992,0.0306225,5.01469,-0.000218789
2.68,7.17574,0.223528,0.0306115,5.01488,-0.000220303
2.69,7.22589,0.225063,0.0306004,5.01504,-0.000221817
2.7,7.27604,0.226598,0.0305892,5.01516,-0.00022333
2.71,7.3262,0.228133,0.030578,5.01527,-0.000224842
2.72,7.37635,0.229666,0.0305666,5.01535,-0.000226354
2.73,7.4265,0.2312,0.0305552,5.01541,-0.000227865
2.74,7.47666,0.232732,0.0305438,5.01547,-0.000229376
2.75,7.52681,0.234264,0.0305322,5.01551,-0.000230887
2.76,7.57697,0.235796,0.0305206,5.01554,-0.000232396
2.77,7.62712,0.237327,0.0305089,5.01557,-0.000233905
2.78,7.67728,0.238857,0.0304971,5.01559,-0.000235414
2.79,7.72744,0.240387,0.0304853,5.01561,-0.000236922
2.8,7.77759,0.241916,0.0304733,5.01562,-0.000238429
2.81,7.82775,0.243445,0.0304613,5.01563,-0.000239936
2.82,7.87791,0.244973,0.0304493,5.01564,-0.000241442
2.83,7.92806,0.2465,0.0304371,5.01565,-0.000242948
2.84,7.97822,0.248027,0.0304249,5.01566,-0.000244453
2.85,8.02838,0.249553,0.0304126,5.01566,-0.000245958
2.86,8.07853,0.251079,0.0304002,5.01566,-0.000247461
2.87,8.12869,0.252604,0.0303877,5.01567,-0.000248965
2.88,8.17885,0.254128,0.0303752,5.01567,-0.000250467
2.89,8.229,0.255652,0.0303626,5.01567,-0.000251969
2.9,8.27916,0.257175,0.0303499,5.01567,-0.000253471
2.91,8.32932,0.258697,0.0303372,5.01567,-0.000254972
